ARQUIVO	TIPO	CURSO	MODULO	AULA	CATEGORIA	JA_EXISTE_NO_PROJETO	HASH	DESTINO_PROPOSTO
01 - Marketing Digital, Negocios Online e Vendas/01 - SEO, Google e Busca/Autor - O Codigo Lucrativo/01 - A Febre das Palavras-chave.pdf	PDF		SEO, Google e Busca	SEO, Google e Busca - A Febre das Palavras chave	SEO e descoberta	sim	d0231568f0fcbcd2a670e3220cb6f3b94e5cd692e5935053ceed9bfaa6e281b2	nao importar - duplicata por SHA-256
01 - Marketing Digital, Negocios Online e Vendas/01 - SEO, Google e Busca/Autor - O Codigo Lucrativo/02 - Ecossistema Google - Guia Atualizado para Presenca, Metricas e Reputacao.pdf	PDF		SEO, Google e Busca	SEO, Google e Busca - Ecossistema Google Guia Atualizado para Presenca, Metricas e Reputacao	SEO e descoberta	sim	4b28a95e2ec12286124586459f9135d7735762b6051e82c2e5eab8cbae89f816	nao importar - duplicata por SHA-256
01 - Marketing Digital, Negocios Online e Vendas/01 - SEO, Google e Busca/Autor - O Codigo Lucrativo/03 - Nocoes Contemporaneas de SEO.pdf	PDF		SEO, Google e Busca	SEO, Google e Busca - Nocoes Contemporaneas de SEO	SEO e descoberta	sim	4f90d7b62f3f780a67df06f7935b4336507a5e71ef566e6d2ecdb23e280c1eb3	nao importar - duplicata por SHA-256
01 - Marketing Digital, Negocios Online e Vendas/02 - Email Marketing e Newsletters/Autor - O Codigo Lucrativo/01 - Newsletters Praticas - Guia Contemporaneo de A a Z.pdf	PDF		Email Marketing e Newsletters	Email Marketing e Newsletters - Newsletters Praticas Guia Contemporaneo de A a Z	E-mail e relacionamento	sim	620e2573763d662f1f5f16a6a9a245485b68e23db30f27ba9fdf6c53de42b7f7	nao importar - duplicata por SHA-256
01 - Marketing Digital, Negocios Online e Vendas/02 - Email Marketing e Newsletters/Autor - O Codigo Lucrativo/02 - Marketing por Email - Da Lista ao Ciclo de Valor.pdf	PDF		Email Marketing e Newsletters	Email Marketing e Newsletters - Marketing por Email Da Lista ao Ciclo de Valor	E-mail e relacionamento	sim	9e8f14507ac1a878edbad41a99ce0f3752de120fb9b189c6cd6538f9a6c87498	nao importar - duplicata por SHA-256
01 - Marketing Digital, Negocios Online e Vendas/03 - Marketing de Rede, Lideranca e Equipes/Autor - O Codigo Lucrativo/01 - Sobrevivencia Estrategica no Marketing de Rede.pdf	PDF		Marketing de Rede, Lideranca e Equipes	Marketing de Rede, Lideranca e Equipes - Sobrevivencia Estrategica no Marketing de Rede	Marketing de rede	sim	8660506793577e64be219ccf924d4a3d05dcce499322094d74e2debac93d0f5c	nao importar - duplicata por SHA-256
01 - Marketing Digital, Negocios Online e Vendas/03 - Marketing de Rede, Lideranca e Equipes/Autor - O Codigo Lucrativo/02 - Armadilhas e Praticas Responsaveis no Marketing de Rede.pdf	PDF		Marketing de Rede, Lideranca e Equipes	Marketing de Rede, Lideranca e Equipes - Armadilhas e Praticas Responsaveis no Marketing de Rede	Marketing de rede	sim	cc615e9d4a14542e0ab814b08b7879b89dee45ba2e0c07bca67f7f9d9f226851	nao importar - duplicata por SHA-256
01 - Marketing Digital, Negocios Online e Vendas/03 - Marketing de Rede, Lideranca e Equipes/Autor - O Codigo Lucrativo/03 - A Nova Era do Marketing de Rede.pdf	PDF		Marketing de Rede, Lideranca e Equipes	Marketing de Rede, Lideranca e Equipes - A Nova Era do Marketing de Rede	Marketing de rede	sim	ff04383e2bec8ed66ed9f81301cbcd3b58eeff2790ded6840330225aba26eff0	nao importar - duplicata por SHA-256
01 - Marketing Digital, Negocios Online e Vendas/03 - Marketing de Rede, Lideranca e Equipes/Autor - O Codigo Lucrativo/04 - Marketing de Rede 4.0.pdf	PDF		Marketing de Rede, Lideranca e Equipes	Marketing de Rede, Lideranca e Equipes - Marketing de Rede 4.0	Marketing de rede	sim	374fd34ef299df30c82c72862d85db5f7f789ab02dd85e64c98ae04a0de705d7	nao importar - duplicata por SHA-256
01 - Marketing Digital, Negocios Online e Vendas/03 - Marketing de Rede, Lideranca e Equipes/Autor - O Codigo Lucrativo/05 - Trabalhe em Rede com Eficiencia.pdf	PDF		Marketing de Rede, Lideranca e Equipes	Marketing de Rede, Lideranca e Equipes - Trabalhe em Rede com Eficiencia	Marketing de rede	sim	40c1104f2e5cf3b2d8d17de8ba6d7ce738363908716fffd68b5a2afbc5266bf1	nao importar - duplicata por SHA-256
