HEX	PIXELS	SHARE
#009B22	169	0.0107%
#009C22	165	0.0105%
#009921	159	0.0101%
#009A21	155	0.0099%
#009821	143	0.0091%
#009E23	138	0.0088%
#009D23	132	0.0084%
#009A22	131	0.0083%
#009721	131	0.0083%
#009B21	123	0.0078%
#009D22	122	0.0078%
#009E22	121	0.0077%
#009922	120	0.0076%
#01D640	114	0.0072%
#009F21	109	0.0069%
#01D842	108	0.0069%
#00A022	108	0.0069%
#00A122	108	0.0069%
#00A322	107	0.0068%
#009E21	107	0.0068%
#009D21	106	0.0067%
#01D741	104	0.0066%
#01D641	104	0.0066%
#00A021	103	0.0065%
#009C21	103	0.0065%
#01D843	102	0.0065%
#009C23	102	0.0065%
#01D841	98	0.0062%
#00A023	96	0.0061%
#01D53F	95	0.0060%
#00A222	95	0.0060%
#009621	95	0.0060%
#009620	94	0.0060%
#01D63F	92	0.0058%
#009F23	92	0.0058%
#00A422	90	0.0057%
#019E22	89	0.0057%
#01DA45	88	0.0056%
#00A121	86	0.0055%
#01D944	85	0.0054%
#00A123	85	0.0054%
#01D540	84	0.0053%
#009F22	84	0.0053%
#01D943	83	0.0053%
#01D740	80	0.0051%
#009B23	79	0.0050%
#00A221	78	0.0050%
#00A522	78	0.0050%
#009820	78	0.0050%
#00D640	77	0.0049%
#00A223	77	0.0049%
#019E23	76	0.0048%
#01DB47	75	0.0048%
#009720	75	0.0048%
#00A423	74	0.0047%
#00D740	73	0.0046%
#00A324	73	0.0046%
#00A323	73	0.0046%
#019922	72	0.0046%
#01DA43	71	0.0045%
#00D63F	71	0.0045%
#009E20	71	0.0045%
#00A224	70	0.0044%
#009F24	70	0.0044%
#01D43F	69	0.0044%
#01DA44	68	0.0043%
#01DB46	68	0.0043%
#009E24	68	0.0043%
#019D22	68	0.0043%
#01DC47	67	0.0043%
#01D942	67	0.0043%
#00D43E	67	0.0043%
#019F23	67	0.0043%
#019C22	67	0.0043%
#01D43E	66	0.0042%
#00A024	66	0.0042%
#019A21	65	0.0041%
#019B22	65	0.0041%
#019A22	65	0.0041%
#01D742	64	0.0041%
