HEX	PIXELS	SHARE
#000000	38099	2.4212%
#000105	25963	1.6500%
#000001	24317	1.5454%
#000003	22302	1.4173%
#000002	21397	1.3598%
#00050C	21007	1.3350%
#000004	19594	1.2452%
#00060D	16357	1.0395%
#000104	15492	0.9845%
#000206	14997	0.9531%
#000106	14814	0.9414%
#00040B	13499	0.8579%
#00050B	13467	0.8558%
#000207	13466	0.8558%
#000208	13356	0.8488%
#00040A	13189	0.8382%
#000309	12503	0.7946%
#00050D	11228	0.7136%
#000308	10825	0.6879%
#00070F	10526	0.6689%
#00060E	10458	0.6646%
#00060C	9606	0.6105%
#000107	9604	0.6103%
#010105	9487	0.6029%
#00080F	9076	0.5768%
#00070E	9024	0.5735%
#000409	8516	0.5412%
#00030A	8372	0.5320%
#010104	8329	0.5293%
#000005	7865	0.4998%
#000209	7808	0.4962%
#010206	7607	0.4834%
#000205	7445	0.4731%
#00050A	6880	0.4372%
#000810	6842	0.4348%
#000307	6819	0.4334%
#00040C	6607	0.4199%
#00070D	6087	0.3868%
#000103	6042	0.3840%
#00060B	6013	0.3821%
