IMAGE=1774x887
COLOR	PIXELS	SHARE
#000105	184679	11.7365%
#000001	140542	8.9316%
#00060D	126689	8.0512%
#00050A	125851	7.9980%
#000209	100575	6.3916%
#01281B	95472	6.0673%
#01090E	84768	5.3871%
#014D2B	74530	4.7365%
#03D660	72920	4.6341%
#011514	68506	4.3536%
#0C141A	63353	4.0261%
#029E41	60847	3.8669%
#050F14	56249	3.5747%
#ABF6D0	55322	3.5158%
#010911	42503	2.7011%
#00110C	37289	2.3698%
#010506	33122	2.1049%
#000908	30020	1.9078%
#25493F	25364	1.6119%
#99C3B3	24757	1.5733%
#000711	22526	1.4316%
#050608	17257	1.0967%
#00030C	15229	0.9678%
#000502	15168	0.9639%
